001101007	1	001101	007			模块07开机	1	01	0	0&OFF;1&ON									
001101008	1	001101	008			模块08开机	1	01	0	0&OFF;1&ON									
001102001	1	001102	001			模块01关机	1	01	0	0&OFF;1&ON									
001102002	1	001102	002			模块02关机	1	01	0	0&OFF;1&ON									
001102003	1	001102	003			模块03关机	1	01	0	0&OFF;1&ON									
001102004	1	001102	004			模块04关机	1	01	0	0&OFF;1&ON									
001102005	1	001102	005			模块05关机	1	01	0	0&OFF;1&ON									
001102006	1	001102	006			模块06关机	1	01	0	0&OFF;1&ON									
001102007	1	001102	007			模块07关机	1	01	0	0&OFF;1&ON									
001102008	1	001102	008			模块08关机	1	01	0	0&OFF;1&ON									
001103000	1	001103	000			模式选择	1	01	0	0&OFF;1&ON									
001104000	1	001104	000			电池组放电测试启动	1	01	0	0&OFF;1&ON									
001105000	1	001105	000			电池组放电测试结束	1	01	0	0&OFF;1&ON									
001106000	1	001106	000			高压开关合闸	1	01	0	0&OFF;1&ON									
001106001	1	001106	001			高压开关01合闸	1	01	0	0&OFF;1&ON									
001106002	1	001106	002			高压开关02合闸	1	01	0	0&OFF;1&ON									
001106003	1	001106	003			高压开关03合闸	1	01	0	0&OFF;1&ON									
001106004	1	001106	004			高压开关04合闸	1	01	0	0&OFF;1&ON									
001107000	1	001107	000			高压开关分闸	1	01	0	0&OFF;1&ON									
001107001	1	001107	001			高压开关XX分闸	1	01	0	0&OFF;1&ON									
001107002	1	001107	002			高压开关XX分闸	1	01	0	0&OFF;1&ON									
001107003	1	001107	003			高压开关XX分闸	1	01	0	0&OFF;1&ON									
001107004	1	001107	004			高压开关XX分闸	1	01	0	0&OFF;1&ON									
001201000	1	001201	000			均充电压	2	01	0	V									
001202000	1	001202	000			浮充电压	2	01	0	V									
001203000	1	001203	000			充电限流值	2	01	0	A									
001301000	1	001301	000			线电压Uab	3	01	0	kV									
001302000	1	001302	000			线电压Ubc	3	01	0	kV									
001303000	1	001303	000			线电压Uca	3	01	0	kV									
001304000	1	001304	000			相电压Ua	3	01	0	kV									
001304001	1	001304	001			I段相电压Ua	3	01	0	kV									
001304002	1	001304	002			II段相电压Ua	3	01	0	kV									
001305000	1	001305	000			相电压Ub	3	01	0	kV									
001305001	1	001305	001			I段相电压Ub	3	01	0	kV									
001305002	1	001305	002			II段相电压Ub	3	01	0	kV									
001306000	1	001306	000			相电压Uc	3	01	0	kV									
001306001	1	001306	001			I段相电压Uc	3	01	0	kV									
001306002	1	001306	002			II段相电压Uc	3	01	0	kV									
001307000	1	001307	000			相电流Ia	3	01	0	A									
001308000	1	001308	000			相电流Ib	3	01	0	A									
001309000	1	001309	000			相电流Ic	3	01	0	A									
001310000	1	001310	000			零序电流Io	3	01	0	A									
001311000	1	001311	000			有功功率Pa	3	01	0	kW									
001312000	1	001312	000			有功功率Pb	3	01	0	kW									
001313000	1	001313	000			有功功率Pc	3	01	0	kW									
001314000	1	001314	000			无功功率Qa	3	01	0	kvar									
001315000	1	001315	000			无功功率Qb	3	01	0	kvar									
001316000	1	001316	000			无功功率Qc	3	01	0	kvar									
001317000	1	001317	000			视在功率Sa	3	01	0	kVA									
001318000	1	001318	000			视在功率Sb	3	01	0	kVA									
001319000	1	001319	000			视在功率Sc	3	01	0	kVA									
001320000	1	001320	000			A相功率因数	3	01	0	－									
001321000	1	001321	000			B相功率因数	3	01	0	－									
001322000	1	001322	000			C相功率因数	3	01	0	－									
001323000	1	001323	000			功率因数	3	01	0	－									
001324000	1	001324	000			频率	3	01	0	Hz									
001325000	1	001325	000			总有功功率P	3	01	0	kW									
001326000	1	001326	000			总无功功率Q	3	01	0	kvar									
001327000	1	001327	000			总视在功率S	3	01	0	kVA									
001328000	1	001328	000			正向有功电能	3	01	0	kWh									
001329000	1	001329	000			正向无功电能	3	01	0	kvarh									
001330000	1	001330	000			反向有功电能	3	01	0	kWh									
001331000	1	001331	000			反向无功电能	3	01	0	kvarh									
001332000	1	001332	000			合母电压	3	01	0	V									
001333000	1	001333	000			控母电压	3	01	0	V									
001333001	1	001333	001			控母电压1#	3	01	0	V									
001333002	1	001333	002			控母电压2#	3	01	0	V									
001334000	1	001334	000			输出电流	3	01	0	A									
001335000	1	001335	000			控母电流	3	01	0	A									
001335001	1	001335	001			控母电流1#	3	01	0	A									
001335002	1	001335	002			控母电流2#	3	01	0	A									
001336000	1	001336	000			合母电流	3	01	0	A									
001337001	1	001337	001			电池单体01电压	3	01	0	V									
001337002	1	001337	002			电池单体02电压	3	01	0	V									
001337003	1	001337	003			电池单体03电压	3	01	0	V									
001337004	1	001337	004			电池单体04电压	3	01	0	V									
001338000	1	001338	000			电池温度	3	01	0	℃									
001338001	1	001338	001			电池温度1#	3	01	0	℃									
001338002	1	001338	002			电池温度2#	3	01	0	℃									
002001000	1	002001	000	002001	603-002-00-002001	A相电压过高告警	4	02	0201	0&正常;1&告警						A相电压过高告警			
002001001	1	002001	001	002001	603-002-00-002001	A相电压过高告警1路	4	02	0201	0&正常;1&告警						A相电压过高告警			
002001002	1	002001	002	002001	603-002-00-002001	A相电压过高告警2路	4	02	0201	0&正常;1&告警						A相电压过高告警			
002002000	1	002002	000	002002	603-002-00-002002	A相电压过低告警	4	02	0201	0&正常;1&告警						A相电压过低告警			
002002001	1	002002	001	002002	603-002-00-002002	A相电压过低告警1路	4	02	0201	0&正常;1&告警						A相电压过低告警			
002002002	1	002002	002	002002	603-002-00-002002	A相电压过低告警2路	4	02	0201	0&正常;1&告警						A相电压过低告警			
002003000	1	002003	000	002003	603-002-00-002003	B相电压过高告警	4	02	0201	0&正常;1&告警						B相电压过高告警			
002003001	1	002003	001	002003	603-002-00-002003	B相电压过高告警1路	4	02	0201	0&正常;1&告警						I路B相电压过高告警			
002003002	1	002003	002	002003	603-002-00-002003	B相电压过高告警2路	4	02	0201	0&正常;1&告警						II路B相电压过高告警			
002004000	1	002004	000	002004	603-002-00-002004	B相电压过低告警	4	02	0201	0&正常;1&告警						B相电压过低告警			
002004001	1	002004	001	002004	603-002-00-002004	B相电压过低告警1路	4	02	0201	0&正常;1&告警						I路B相电压过低告警			
002004002	1	002004	002	002004	603-002-00-002004	B相电压过低告警2路	4	02	0201	0&正常;1&告警						II路B相电压过低告警			
002005000	1	002005	000	002005	603-002-00-002005	C相电压过高告警	4	02	0201	0&正常;1&告警						C相电压过高告警			
002005001	1	002005	001	002005	603-002-00-002005	C相电压过高告警1路	4	02	0201	0&正常;1&告警						I路C相电压过高告警			
